,Group1,res,method,operation,output,label,pattern,Group2,Group3,analysis,name,dec,rnd,disp
11,Xanomeline High Dose,7.886093849,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_3_SD,Out14-1-1,SD,(XX.XX),,,An03_01_Age_Summ_ByTrt,Summary of Age by Treatment,2,7.89,-7.89
12,Xanomeline Low Dose,8.2860506,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_3_SD,Out14-1-1,SD,(XX.XX),,,An03_01_Age_Summ_ByTrt,Summary of Age by Treatment,2,8.29,-8.29
13,Placebo,76,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_4_Median,Out14-1-1,Median,XX.X,,,An03_01_Age_Summ_ByTrt,Summary of Age by Treatment,1,76,76
14,Xanomeline High Dose,76,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_4_Median,Out14-1-1,Median,XX.X,,,An03_01_Age_Summ_ByTrt,Summary of Age by Treatment,1,76,76
15,Xanomeline Low Dose,77.5,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_4_Median,Out14-1-1,Median,XX.X,,,An03_01_Age_Summ_ByTrt,Summary of Age by Treatment,1,77.5,77.5
16,Placebo,69.25,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_5_Q1,Out14-1-1,Q1,XX.X,,,An03_01_Age_Summ_ByTrt,Summary of Age by Treatment,1,69.2,69.2
17,Xanomeline High Dose,70.75,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_5_Q1,Out14-1-1,Q1,XX.X,,,An03_01_Age_Summ_ByTrt,Summary of Age by Treatment,1,70.8,70.8
18,Xanomeline Low Dose,71,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_5_Q1,Out14-1-1,Q1,XX.X,,,An03_01_Age_Summ_ByTrt,Summary of Age by Treatment,1,71,71
19,Placebo,81.75,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_6_Q3,Out14-1-1,Q3,XX.X,,,An03_01_Age_Summ_ByTrt,Summary of Age by Treatment,1,81.8,81.8
20,Xanomeline High Dose,80,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_6_Q3,Out14-1-1,Q3,XX.X,,,An03_01_Age_Summ_ByTrt,Summary of Age by Treatment,1,80,80
21,Xanomeline Low Dose,82,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_6_Q3,Out14-1-1,Q3,XX.X,,,An03_01_Age_Summ_ByTrt,Summary of Age by Treatment,1,82,82
22,Placebo,52,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-1-1,Min,XX,,,An03_01_Age_Summ_ByTrt,Summary of Age by Treatment,0,52,52
23,Xanomeline High Dose,56,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-1-1,Min,XX,,,An03_01_Age_Summ_ByTrt,Summary of Age by Treatment,0,56,56
24,Xanomeline Low Dose,51,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-1-1,Min,XX,,,An03_01_Age_Summ_ByTrt,Summary of Age by Treatment,0,51,51
25,Placebo,89,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-1-1,Max,XX,,,An03_01_Age_Summ_ByTrt,Summary of Age by Treatment,0,89,89
26,Xanomeline High Dose,88,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-1-1,Max,XX,,,An03_01_Age_Summ_ByTrt,Summary of Age by Treatment,0,88,88
27,Xanomeline Low Dose,88,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-1-1,Max,XX,,,An03_01_Age_Summ_ByTrt,Summary of Age by Treatment,0,88,88
28,,0.593435775,Mth04_ContVar_Comp_Anova,Mth04_ContVar_Comp_Anova_1_pval,Out14-1-1,p-value,X.XXXX,,,An03_01_Age_Comp_ByTrt,Comparison of Age by Treatment,4,0.5934,0.5934
29,Placebo,42,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_1_n,Out14-1-1,n,XXX,65-80,,An03_02_AgeGrp_Summ_ByTrt,Summary of Subjects by Treatment and Age Group,1,42,42
30,Placebo,14,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_1_n,Out14-1-1,n,XXX,<65,,An03_02_AgeGrp_Summ_ByTrt,Summary of Subjects by Treatment and Age Group,1,14,14
31,Placebo,30,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_1_n,Out14-1-1,n,XXX,>80,,An03_02_AgeGrp_Summ_ByTrt,Summary of Subjects by Treatment and Age Group,1,30,30
32,Xanomeline High Dose,55,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_1_n,Out14-1-1,n,XXX,65-80,,An03_02_AgeGrp_Summ_ByTrt,Summary of Subjects by Treatment and Age Group,1,55,55
33,Xanomeline High Dose,11,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_1_n,Out14-1-1,n,XXX,<65,,An03_02_AgeGrp_Summ_ByTrt,Summary of Subjects by Treatment and Age Group,1,11,11
34,Xanomeline High Dose,18,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_1_n,Out14-1-1,n,XXX,>80,,An03_02_AgeGrp_Summ_ByTrt,Summary of Subjects by Treatment and Age Group,1,18,18
35,Xanomeline Low Dose,47,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_1_n,Out14-1-1,n,XXX,65-80,,An03_02_AgeGrp_Summ_ByTrt,Summary of Subjects by Treatment and Age Group,1,47,47
36,Xanomeline Low Dose,8,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_1_n,Out14-1-1,n,XXX,<65,,An03_02_AgeGrp_Summ_ByTrt,Summary of Subjects by Treatment and Age Group,1,8,8
37,Xanomeline Low Dose,29,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_1_n,Out14-1-1,n,XXX,>80,,An03_02_AgeGrp_Summ_ByTrt,Summary of Subjects by Treatment and Age Group,1,29,29
38,Placebo,48.8372093,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-1-1,%,( XX.X),65-80,,An03_02_AgeGrp_Summ_ByTrt,Summary of Subjects by Treatment and Age Group,1,48.8,-48.8
39,Placebo,16.27906977,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-1-1,%,( XX.X),<65,,An03_02_AgeGrp_Summ_ByTrt,Summary of Subjects by Treatment and Age Group,1,16.3,-16.3
40,Placebo,34.88372093,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-1-1,%,( XX.X),>80,,An03_02_AgeGrp_Summ_ByTrt,Summary of Subjects by Treatment and Age Group,1,34.9,-34.9
41,Xanomeline High Dose,65.47619048,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-1-1,%,( XX.X),65-80,,An03_02_AgeGrp_Summ_ByTrt,Summary of Subjects by Treatment and Age Group,1,65.5,-65.5
42,Xanomeline High Dose,13.0952381,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-1-1,%,( XX.X),<65,,An03_02_AgeGrp_Summ_ByTrt,Summary of Subjects by Treatment and Age Group,1,13.1,-13.1
43,Xanomeline High Dose,21.42857143,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-1-1,%,( XX.X),>80,,An03_02_AgeGrp_Summ_ByTrt,Summary of Subjects by Treatment and Age Group,1,21.4,-21.4
44,Xanomeline Low Dose,55.95238095,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-1-1,%,( XX.X),65-80,,An03_02_AgeGrp_Summ_ByTrt,Summary of Subjects by Treatment and Age Group,1,56,-56
45,Xanomeline Low Dose,9.523809524,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-1-1,%,( XX.X),<65,,An03_02_AgeGrp_Summ_ByTrt,Summary of Subjects by Treatment and Age Group,1,9.5,-9.5
46,Xanomeline Low Dose,34.52380952,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-1-1,%,( XX.X),>80,,An03_02_AgeGrp_Summ_ByTrt,Summary of Subjects by Treatment and Age Group,1,34.5,-34.5
47,,0.143917026,Mth03_CatVar_Comp_PChiSq,Mth03_CatVar_Comp_PChiSq_1_pval,Out14-1-1,p-value,X.XXXX,,,An03_02_AgeGrp_Comp_ByTrt,Comparison of Age Group by Treatment,4,0.1439,0.1439
48,Placebo,53,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_1_n,Out14-1-1,n,XXX,F,,An03_03_Sex_Summ_ByTrt,Summary of Subjects by Treatment and Sex,1,53,53
49,Placebo,33,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_1_n,Out14-1-1,n,XXX,M,,An03_03_Sex_Summ_ByTrt,Summary of Subjects by Treatment and Sex,1,33,33
50,Xanomeline High Dose,40,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_1_n,Out14-1-1,n,XXX,F,,An03_03_Sex_Summ_ByTrt,Summary of Subjects by Treatment and Sex,1,40,40
51,Xanomeline High Dose,44,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_1_n,Out14-1-1,n,XXX,M,,An03_03_Sex_Summ_ByTrt,Summary of Subjects by Treatment and Sex,1,44,44
52,Xanomeline Low Dose,50,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_1_n,Out14-1-1,n,XXX,F,,An03_03_Sex_Summ_ByTrt,Summary of Subjects by Treatment and Sex,1,50,50
53,Xanomeline Low Dose,34,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_1_n,Out14-1-1,n,XXX,M,,An03_03_Sex_Summ_ByTrt,Summary of Subjects by Treatment and Sex,1,34,34
54,Placebo,61.62790698,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-1-1,%,( XX.X),F,,An03_03_Sex_Summ_ByTrt,Summary of Subjects by Treatment and Sex,1,61.6,-61.6
55,Placebo,38.37209302,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-1-1,%,( XX.X),M,,An03_03_Sex_Summ_ByTrt,Summary of Subjects by Treatment and Sex,1,38.4,-38.4
56,Xanomeline High Dose,47.61904762,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-1-1,%,( XX.X),F,,An03_03_Sex_Summ_ByTrt,Summary of Subjects by Treatment and Sex,1,47.6,-47.6
57,Xanomeline High Dose,52.38095238,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-1-1,%,( XX.X),M,,An03_03_Sex_Summ_ByTrt,Summary of Subjects by Treatment and Sex,1,52.4,-52.4
58,Xanomeline Low Dose,59.52380952,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-1-1,%,( XX.X),F,,An03_03_Sex_Summ_ByTrt,Summary of Subjects by Treatment and Sex,1,59.5,-59.5
59,Xanomeline Low Dose,40.47619048,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-1-1,%,( XX.X),M,,An03_03_Sex_Summ_ByTrt,Summary of Subjects by Treatment and Sex,1,40.5,-40.5
60,,0.140859829,Mth03_CatVar_Comp_PChiSq,Mth03_CatVar_Comp_PChiSq_1_pval,Out14-1-1,p-value,X.XXXX,,,An03_03_Sex_Comp_ByTrt,Comparison of Sex by Treatment,4,0.1409,0.1409
61,Placebo,3,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_1_n,Out14-1-1,n,XXX,HISPANIC OR LATINO,,An03_04_Ethnic_Summ_ByTrt,Summary of Subjects by Treatment and Ethnicity,1,3,3
62,Placebo,83,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_1_n,Out14-1-1,n,XXX,NOT HISPANIC OR LATINO,,An03_04_Ethnic_Summ_ByTrt,Summary of Subjects by Treatment and Ethnicity,1,83,83
63,Xanomeline High Dose,3,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_1_n,Out14-1-1,n,XXX,HISPANIC OR LATINO,,An03_04_Ethnic_Summ_ByTrt,Summary of Subjects by Treatment and Ethnicity,1,3,3
64,Xanomeline High Dose,81,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_1_n,Out14-1-1,n,XXX,NOT HISPANIC OR LATINO,,An03_04_Ethnic_Summ_ByTrt,Summary of Subjects by Treatment and Ethnicity,1,81,81
65,Xanomeline Low Dose,6,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_1_n,Out14-1-1,n,XXX,HISPANIC OR LATINO,,An03_04_Ethnic_Summ_ByTrt,Summary of Subjects by Treatment and Ethnicity,1,6,6
66,Xanomeline Low Dose,78,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_1_n,Out14-1-1,n,XXX,NOT HISPANIC OR LATINO,,An03_04_Ethnic_Summ_ByTrt,Summary of Subjects by Treatment and Ethnicity,1,78,78
67,Placebo,3.488372093,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-1-1,%,( XX.X),HISPANIC OR LATINO,,An03_04_Ethnic_Summ_ByTrt,Summary of Subjects by Treatment and Ethnicity,1,3.5,-3.5
68,Placebo,96.51162791,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-1-1,%,( XX.X),NOT HISPANIC OR LATINO,,An03_04_Ethnic_Summ_ByTrt,Summary of Subjects by Treatment and Ethnicity,1,96.5,-96.5
69,Xanomeline High Dose,3.571428571,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-1-1,%,( XX.X),HISPANIC OR LATINO,,An03_04_Ethnic_Summ_ByTrt,Summary of Subjects by Treatment and Ethnicity,1,3.6,-3.6
70,Xanomeline High Dose,96.42857143,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-1-1,%,( XX.X),NOT HISPANIC OR LATINO,,An03_04_Ethnic_Summ_ByTrt,Summary of Subjects by Treatment and Ethnicity,1,96.4,-96.4
71,Xanomeline Low Dose,7.142857143,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-1-1,%,( XX.X),HISPANIC OR LATINO,,An03_04_Ethnic_Summ_ByTrt,Summary of Subjects by Treatment and Ethnicity,1,7.1,-7.1
72,Xanomeline Low Dose,92.85714286,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-1-1,%,( XX.X),NOT HISPANIC OR LATINO,,An03_04_Ethnic_Summ_ByTrt,Summary of Subjects by Treatment and Ethnicity,1,92.9,-92.9
73,,0.442311944,Mth03_CatVar_Comp_PChiSq,Mth03_CatVar_Comp_PChiSq_1_pval,Out14-1-1,p-value,X.XXXX,,,An03_04_Ethnic_Comp_ByTrt,Comparison of Ethnicity by Treatment,4,0.4423,0.4423
74,Placebo,8,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_1_n,Out14-1-1,n,XXX,BLACK OR AFRICAN AMERICAN,,An03_05_Race_Summ_ByTrt,Summary of Subjects by Treatment and Race,1,8,8
75,Placebo,78,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_1_n,Out14-1-1,n,XXX,WHITE,,An03_05_Race_Summ_ByTrt,Summary of Subjects by Treatment and Race,1,78,78
76,Xanomeline High Dose,1,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_1_n,Out14-1-1,n,XXX,AMERICAN INDIAN OR ALASKA NATIVE,,An03_05_Race_Summ_ByTrt,Summary of Subjects by Treatment and Race,1,1,1
77,Xanomeline High Dose,9,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_1_n,Out14-1-1,n,XXX,BLACK OR AFRICAN AMERICAN,,An03_05_Race_Summ_ByTrt,Summary of Subjects by Treatment and Race,1,9,9
78,Xanomeline High Dose,74,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_1_n,Out14-1-1,n,XXX,WHITE,,An03_05_Race_Summ_ByTrt,Summary of Subjects by Treatment and Race,1,74,74
79,Xanomeline Low Dose,6,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_1_n,Out14-1-1,n,XXX,BLACK OR AFRICAN AMERICAN,,An03_05_Race_Summ_ByTrt,Summary of Subjects by Treatment and Race,1,6,6
80,Xanomeline Low Dose,78,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_1_n,Out14-1-1,n,XXX,WHITE,,An03_05_Race_Summ_ByTrt,Summary of Subjects by Treatment and Race,1,78,78
81,Placebo,9.302325581,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-1-1,%,( XX.X),BLACK OR AFRICAN AMERICAN,,An03_05_Race_Summ_ByTrt,Summary of Subjects by Treatment and Race,1,9.3,-9.3
82,Placebo,90.69767442,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-1-1,%,( XX.X),WHITE,,An03_05_Race_Summ_ByTrt,Summary of Subjects by Treatment and Race,1,90.7,-90.7
83,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-1-1,%,( XX.X),AMERICAN INDIAN OR ALASKA NATIVE,,An03_05_Race_Summ_ByTrt,Summary of Subjects by Treatment and Race,1,1.2,-1.2
84,Xanomeline High Dose,10.71428571,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-1-1,%,( XX.X),BLACK OR AFRICAN AMERICAN,,An03_05_Race_Summ_ByTrt,Summary of Subjects by Treatment and Race,1,10.7,-10.7
85,Xanomeline High Dose,88.0952381,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-1-1,%,( XX.X),WHITE,,An03_05_Race_Summ_ByTrt,Summary of Subjects by Treatment and Race,1,88.1,-88.1
86,Xanomeline Low Dose,7.142857143,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-1-1,%,( XX.X),BLACK OR AFRICAN AMERICAN,,An03_05_Race_Summ_ByTrt,Summary of Subjects by Treatment and Race,1,7.1,-7.1
87,Xanomeline Low Dose,92.85714286,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-1-1,%,( XX.X),WHITE,,An03_05_Race_Summ_ByTrt,Summary of Subjects by Treatment and Race,1,92.9,-92.9
88,,0.604030437,Mth03_CatVar_Comp_PChiSq,Mth03_CatVar_Comp_PChiSq_1_pval,Out14-1-1,p-value,X.XXXX,,,An03_05_Race_Comp_ByTrt,Comparison of Race by Treatment,4,0.604,0.604
89,Placebo,86,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_1_n,Out14-1-1,n,XX,,,An03_06_Height_Summ_ByTrt,Summary of Height by Treatment,0,86,86
90,Xanomeline High Dose,84,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_1_n,Out14-1-1,n,XX,,,An03_06_Height_Summ_ByTrt,Summary of Height by Treatment,0,84,84
91,Xanomeline Low Dose,84,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_1_n,Out14-1-1,n,XX,,,An03_06_Height_Summ_ByTrt,Summary of Height by Treatment,0,84,84
92,Placebo,162.5732558,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_2_Mean,Out14-1-1,Mean,XX.X,,,An03_06_Height_Summ_ByTrt,Summary of Height by Treatment,1,162.6,162.6
93,Xanomeline High Dose,165.8202381,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_2_Mean,Out14-1-1,Mean,XX.X,,,An03_06_Height_Summ_ByTrt,Summary of Height by Treatment,1,165.8,165.8
94,Xanomeline Low Dose,163.4333333,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_2_Mean,Out14-1-1,Mean,XX.X,,,An03_06_Height_Summ_ByTrt,Summary of Height by Treatment,1,163.4,163.4
95,Placebo,11.52236112,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_3_SD,Out14-1-1,SD,(XX.XX),,,An03_06_Height_Summ_ByTrt,Summary of Height by Treatment,2,11.52,-11.52
96,Xanomeline High Dose,10.13135155,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_3_SD,Out14-1-1,SD,(XX.XX),,,An03_06_Height_Summ_ByTrt,Summary of Height by Treatment,2,10.13,-10.13
97,Xanomeline Low Dose,10.41924,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_3_SD,Out14-1-1,SD,(XX.XX),,,An03_06_Height_Summ_ByTrt,Summary of Height by Treatment,2,10.42,-10.42
98,Placebo,162.6,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_4_Median,Out14-1-1,Median,XX.X,,,An03_06_Height_Summ_ByTrt,Summary of Height by Treatment,1,162.6,162.6
99,Xanomeline High Dose,165.1,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_4_Median,Out14-1-1,Median,XX.X,,,An03_06_Height_Summ_ByTrt,Summary of Height by Treatment,1,165.1,165.1
100,Xanomeline Low Dose,162.6,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_4_Median,Out14-1-1,Median,XX.X,,,An03_06_Height_Summ_ByTrt,Summary of Height by Treatment,1,162.6,162.6
101,Placebo,154,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_5_Q1,Out14-1-1,Q1,XX.X,,,An03_06_Height_Summ_ByTrt,Summary of Height by Treatment,1,154,154
102,Xanomeline High Dose,157.5,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_5_Q1,Out14-1-1,Q1,XX.X,,,An03_06_Height_Summ_ByTrt,Summary of Height by Treatment,1,157.5,157.5
103,Xanomeline Low Dose,157.5,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_5_Q1,Out14-1-1,Q1,XX.X,,,An03_06_Height_Summ_ByTrt,Summary of Height by Treatment,1,157.5,157.5
104,Placebo,171.175,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_6_Q3,Out14-1-1,Q3,XX.X,,,An03_06_Height_Summ_ByTrt,Summary of Height by Treatment,1,171.2,171.2
105,Xanomeline High Dose,172.775,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_6_Q3,Out14-1-1,Q3,XX.X,,,An03_06_Height_Summ_ByTrt,Summary of Height by Treatment,1,172.8,172.8
106,Xanomeline Low Dose,170.2,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_6_Q3,Out14-1-1,Q3,XX.X,,,An03_06_Height_Summ_ByTrt,Summary of Height by Treatment,1,170.2,170.2
107,Placebo,137.2,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-1-1,Min,XX,,,An03_06_Height_Summ_ByTrt,Summary of Height by Treatment,0,137,137
108,Xanomeline High Dose,146.1,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-1-1,Min,XX,,,An03_06_Height_Summ_ByTrt,Summary of Height by Treatment,0,146,146
109,Xanomeline Low Dose,135.9,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-1-1,Min,XX,,,An03_06_Height_Summ_ByTrt,Summary of Height by Treatment,0,136,136
110,Placebo,185.4,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-1-1,Max,XX,,,An03_06_Height_Summ_ByTrt,Summary of Height by Treatment,0,185,185
111,Xanomeline High Dose,190.5,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-1-1,Max,XX,,,An03_06_Height_Summ_ByTrt,Summary of Height by Treatment,0,190,190
112,Xanomeline Low Dose,195.6,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-1-1,Max,XX,,,An03_06_Height_Summ_ByTrt,Summary of Height by Treatment,0,196,196
